15	10	E	-9636362.400170617	200
transitionprobs	11	8	0.0
transitionprobs	11	9	7.498251830991588E-7
transitionprobs	11	10	7.544676652140167E-4
transitionprobs	11	11	0.9807399577823761
transitionprobs	11	12	0.008739915378044808
transitionprobs	11	13	0.0036148629639018172
transitionprobs	11	14	0.002099964839322352
transitionprobs	11	15	0.0030872100315486955
transitionprobs	12	1	5.248439682470392E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0
transitionprobs	12	10	0.0220110611498458
transitionprobs	12	11	0.807705475983395
transitionprobs	12	12	0.1421120337111742
transitionprobs	12	13	0.024999262893438765
transitionprobs	12	14	0.002596991167457597
transitionprobs	12	15	5.033112644169165E-5
transitionprobs	13	1	9.705154917496908E-4
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	1.4686864820208787E-4
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	8.849983774255273E-6
transitionprobs	13	10	6.975166511715169E-4
transitionprobs	13	11	0.015411027404892913
transitionprobs	13	12	0.0010906338381966724
transitionprobs	13	13	0.9765128532208287
transitionprobs	13	14	0.0049489200077635735
transitionprobs	13	15	2.128147534209013E-4
transitionprobs	14	1	0.006080199636778843
transitionprobs	14	2	0.001154145400549168
transitionprobs	14	3	1.3390558616910022E-5
transitionprobs	14	4	4.3344952563558445E-5
transitionprobs	14	5	7.485066376730271E-4
transitionprobs	14	6	0.03559158690361834
transitionprobs	14	7	0.0
transitionprobs	14	8	4.390209546928562E-4
transitionprobs	14	9	0.004436676095351627
transitionprobs	14	10	0.06688180009286938
transitionprobs	14	11	0.16255828245099982
transitionprobs	14	12	0.0030965931339180294
transitionprobs	14	13	0.09122179449332435
transitionprobs	14	14	0.6266074569800366
transitionprobs	14	15	0.001127201709007475
transitionprobs	15	1	0.0016790079820003794
transitionprobs	15	2	0.0
transitionprobs	15	3	3.580816014000827E-6
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	6.411477309402685E-4
transitionprobs	15	7	8.77712645402428E-4
transitionprobs	15	8	0.0
transitionprobs	15	9	8.690048021920367E-4
transitionprobs	15	10	0.017747072774497302
transitionprobs	15	11	0.08626341505143499
transitionprobs	15	12	1.2336807509718355E-4
transitionprobs	15	13	0.0015972887414043902
transitionprobs	15	14	2.925822957879776E-4
transitionprobs	15	15	0.8899058190852289
emissionprobs	1	0	CTCF	0	0.8163416961240437
emissionprobs	1	0	CTCF	1	0.18365830387595627
emissionprobs	1	1	EZH2	0	0.7555896638412869
emissionprobs	1	1	EZH2	1	0.24441033615871308
emissionprobs	1	2	H2AFZ	0	0.4435949496988603
emissionprobs	1	2	H2AFZ	1	0.5564050503011397
emissionprobs	1	3	H3K27ac	0	0.9032368886092293
emissionprobs	1	3	H3K27ac	1	0.09676311139077072
emissionprobs	1	4	H3K27me3	0	0.8141157857037207
emissionprobs	1	4	H3K27me3	1	0.18588421429627922
emissionprobs	1	5	H3K4me3	0	0.2472255562967205
